epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
1,0.223903,0.274197,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.394105,0.370018,0.423712,0.343521,0.462442,0.311099,0.394105,0.277746,0.583132,0.887567,0.577778,0.103375,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.463409,0.463747,0.474455,0.230588,0.542991,0.178314,0.463409,0.289752,0.549514,0.903159,1.0,0.092528,0.08415
2,0.177781,0.245619,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.398722,0.395092,0.405623,0.419243,0.443546,0.291948,0.398722,0.282268,0.597067,0.900712,0.577778,0.085496,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.558838,0.527775,0.59592,0.396542,0.46985,0.380635,0.558838,0.399473,0.65815,0.921005,0.99816,0.095139,0.084136
3,0.158595,0.276856,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.404054,0.378242,0.437545,0.370633,0.503857,0.312946,0.404054,0.284362,0.599464,0.892385,0.577778,0.10035,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.604079,0.548468,0.673458,0.481111,0.493965,0.506282,0.604079,0.452081,0.720793,0.925747,1.0,0.103452,0.084125
4,0.14921,0.240828,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.397164,0.446085,0.364988,0.447675,0.427964,0.272335,0.397164,0.281678,0.604584,0.907891,0.577778,0.069411,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.622432,0.558207,0.704792,0.509935,0.513212,0.558391,0.622432,0.477902,0.746981,0.92809,1.0,0.106368,0.08412
5,0.14262,0.276064,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.398648,0.396082,0.415015,0.441679,0.445397,0.262333,0.398648,0.298045,0.585151,0.900031,0.577778,0.088618,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.638096,0.566669,0.731376,0.540982,0.524677,0.600345,0.638096,0.498965,0.768076,0.930246,0.999387,0.108697,0.084142
6,0.135971,0.282326,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.407618,0.367166,0.462357,0.423863,0.501022,0.311694,0.407618,0.311919,0.606489,0.888887,0.577778,0.107838,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.650965,0.574035,0.752719,0.564846,0.538368,0.642238,0.650965,0.517672,0.789321,0.932131,0.998773,0.110399,0.08413
7,0.131894,0.287837,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.375613,0.342408,0.419789,0.43415,0.471599,0.33968,0.375613,0.286378,0.627515,0.88535,0.577778,0.102233,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.658787,0.57761,0.767527,0.573222,0.539411,0.659093,0.658787,0.531,0.797582,0.933136,1.0,0.111907,0.08412
8,0.126596,0.297571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.350304,0.326149,0.381037,0.442192,0.421137,0.296295,0.350303,0.274639,0.605786,0.883723,0.577778,0.097374,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.669543,0.586831,0.780333,0.593615,0.552555,0.684177,0.669543,0.546441,0.811008,0.935225,1.0,0.111964,0.084127
9,0.121796,0.357077,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.356304,0.324503,0.399001,0.433408,0.47173,0.334084,0.356304,0.281034,0.618923,0.878318,0.577778,0.10659,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.680609,0.595873,0.794285,0.609168,0.562711,0.706815,0.680609,0.561904,0.822934,0.937277,1.0,0.112268,0.084147
10,0.117026,0.303464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.381424,0.369721,0.3979,0.423608,0.439985,0.337443,0.381424,0.299049,0.628534,0.893334,0.577778,0.090807,0.085936,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.691758,0.60491,0.808526,0.626425,0.576312,0.72812,0.691758,0.578538,0.834261,0.939383,0.998773,0.112538,0.084141
