epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
1,0.242204,0.26433,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.128862,0.558315,0.006495,0.026302,0.917138,0.001593,0.012197,0.124572,0.50041,0.94122,0.58,0.000747,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.22969,0.271681,0.247415,0.098636,0.781926,0.061074,0.224683,0.149015,0.500827,0.913957,0.969347,0.058526,0.054167
2,0.202896,0.243428,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.305802,0.308167,0.323824,0.206329,0.683975,0.152666,0.305801,0.195806,0.535082,0.908496,0.58,0.073707,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.38209,0.393238,0.390758,0.21757,0.537076,0.131772,0.38209,0.219502,0.542448,0.93266,0.971357,0.055265,0.054517
3,0.174342,0.277597,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.409871,0.393042,0.264475,0.217306,0.726286,0.139105,0.30988,0.21061,0.549602,0.938284,0.58,0.036817,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.479299,0.448488,0.525773,0.335503,0.434562,0.280106,0.479299,0.300326,0.616661,0.938445,0.969347,0.064356,0.054214
4,0.160926,0.288821,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.325627,0.389277,0.286892,0.216061,0.705896,0.138914,0.325627,0.213914,0.546886,0.937309,0.58,0.04047,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.515231,0.466826,0.588813,0.392622,0.422095,0.364326,0.515231,0.34074,0.658318,0.940171,0.966834,0.06933,0.05418
5,0.150672,0.281898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.231168,0.284448,0.207927,0.325235,0.593914,0.13977,0.231168,0.166518,0.548893,0.922625,0.58,0.043592,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.543031,0.477285,0.640471,0.43297,0.41621,0.440736,0.543031,0.37529,0.695789,0.941707,0.965327,0.073467,0.054317
6,0.141154,0.27374,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.378937,0.380795,0.242919,0.424124,0.536503,0.158596,0.278948,0.189069,0.561722,0.936771,0.58,0.034394,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.563862,0.485805,0.682046,0.466365,0.433621,0.512571,0.563862,0.402937,0.73175,0.94311,0.970352,0.076639,0.054182
7,0.134122,0.314883,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.283795,0.250712,0.151712,0.263621,0.672539,0.10802,0.183799,0.153076,0.540979,0.921303,0.58,0.037461,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.581159,0.493986,0.714292,0.494473,0.442265,0.56745,0.581159,0.425415,0.759067,0.944319,0.971859,0.078975,0.054304
8,0.130144,0.28024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.264136,0.275718,0.27517,0.440926,0.453937,0.207909,0.264136,0.200376,0.578997,0.920356,0.58,0.05606,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.593164,0.502207,0.733289,0.511019,0.454809,0.594713,0.593164,0.441598,0.772709,0.945513,0.971357,0.079738,0.05449
9,0.123397,0.278629,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.331346,0.38763,0.320389,0.409543,0.540325,0.217807,0.331346,0.234742,0.58613,0.934529,0.58,0.047841,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.608694,0.513016,0.757144,0.525925,0.470642,0.637775,0.608694,0.461023,0.794606,0.9472,0.971357,0.08079,0.054299
10,0.118101,0.257939,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.32438,0.349059,0.336745,0.288983,0.56957,0.235749,0.324374,0.24292,0.586658,0.929874,0.58,0.055917,0.058858,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.620478,0.520116,0.77489,0.546857,0.467875,0.657569,0.620478,0.476426,0.804862,0.948911,0.966332,0.080772,0.054136
