epoch,train_loss,val_loss,val_tf_f1_micro,val_tf_prec_micro,val_tf_rec_micro,val_tf_f1_macro,val_tf_prec_macro,val_tf_rec_macro,val_tf_dice,val_tf_dice_soft,val_tf_bal_acc,val_tf_acc,val_tf_present_frac,val_tf_pred_pos_frac,val_tf_tgt_pos_frac,val_time_f1_micro,val_time_prec_micro,val_time_rec_micro,val_time_f1_macro,val_time_prec_macro,val_time_rec_macro,val_time_dice,val_time_dice_soft,val_time_bal_acc,val_time_acc,val_time_present_frac,val_time_pred_pos_frac,val_time_tgt_pos_frac,train_tf_f1_micro,train_tf_prec_micro,train_tf_rec_micro,train_tf_f1_macro,train_tf_prec_macro,train_tf_rec_macro,train_tf_dice,train_tf_dice_soft,train_tf_bal_acc,train_tf_acc,train_tf_present_frac,train_tf_pred_pos_frac,train_tf_tgt_pos_frac,train_time_f1_micro,train_time_prec_micro,train_time_rec_micro,train_time_f1_macro,train_time_prec_macro,train_time_rec_macro,train_time_dice,train_time_dice_soft,train_time_bal_acc,train_time_acc,train_time_present_frac,train_time_pred_pos_frac,train_time_tgt_pos_frac
1,0.233708,0.275968,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.525906,0.226777,0.387002,0.076484,0.886192,0.165625,0.275926,0.142996,0.5,0.890105,0.475,0.1,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.183837,0.251029,0.203593,0.075178,0.810257,0.054048,0.183837,0.139833,0.500425,0.925465,0.829936,0.044295,0.051332
2,0.216236,0.265818,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.415777,0.435387,0.287889,0.147368,0.815937,0.121362,0.291396,0.156019,0.523837,0.94237,0.475,0.03639,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.288504,0.345405,0.305997,0.109915,0.816592,0.093417,0.288504,0.17105,0.520964,0.932492,0.825796,0.047401,0.051336
3,0.192054,0.267759,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.411458,0.291185,0.308132,0.13225,0.821219,0.153379,0.286472,0.182819,0.531335,0.921518,0.475,0.060493,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.395315,0.38266,0.431723,0.235054,0.56928,0.174903,0.395315,0.227081,0.559413,0.934719,0.828025,0.058236,0.051331
4,0.177737,0.266022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.363811,0.338368,0.375179,0.24728,0.652541,0.224719,0.301353,0.19867,0.553284,0.927347,0.475,0.064482,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.422038,0.384643,0.493205,0.280132,0.501666,0.232676,0.422038,0.256546,0.58588,0.93304,0.838535,0.066492,0.051338
5,0.166003,0.287141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.250109,0.26963,0.271775,0.201882,0.589327,0.174626,0.250109,0.174546,0.539568,0.923474,0.475,0.053243,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.452432,0.393572,0.558303,0.338584,0.438468,0.291261,0.452432,0.285846,0.612811,0.932673,0.838535,0.073137,0.051342
6,0.159759,0.252965,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.460089,0.33953,0.363358,0.211722,0.723539,0.175912,0.335117,0.21594,0.541981,0.93649,0.475,0.050876,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.468309,0.400954,0.589057,0.357886,0.421106,0.338291,0.468309,0.302113,0.635904,0.933387,0.839172,0.075601,0.051344
7,0.152381,0.272098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.271588,0.274047,0.310549,0.324707,0.520576,0.209426,0.271587,0.177973,0.552029,0.918748,0.475,0.060536,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.492875,0.413702,0.631493,0.380845,0.413351,0.384002,0.492875,0.324946,0.65825,0.934992,0.832803,0.078474,0.051325
8,0.147284,0.28118,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.354056,0.299483,0.322555,0.278987,0.599905,0.220119,0.291572,0.195906,0.555273,0.919097,0.475,0.065733,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.505865,0.42144,0.656454,0.391716,0.42709,0.409339,0.505865,0.339512,0.670724,0.935872,0.832803,0.080139,0.051338
9,0.141584,0.264505,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.277745,0.295837,0.298402,0.334859,0.505812,0.208872,0.277744,0.185728,0.558862,0.924529,0.475,0.052122,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.525433,0.437425,0.681976,0.414012,0.42826,0.444501,0.525433,0.359513,0.689177,0.938177,0.832484,0.080523,0.051331
10,0.137003,0.288204,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.350156,0.262061,0.343694,0.287767,0.629556,0.178152,0.287662,0.203865,0.538315,0.918561,0.475,0.064642,0.055251,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.536908,0.446248,0.69317,0.420126,0.433282,0.460135,0.536908,0.373749,0.697829,0.940294,0.825796,0.079749,0.051338
